date,USD,EUR,KZT,UAH,BYR
2017-06,56.6876,63.4107,0.181531,2.15481,
2017-07,59.3862,67.8072,0.183719,2.28058,
2017-08,60.0633,70.4603,0.182184,2.32308,
2017-09,58.5454,69.6222,0.173291,2.2767,
2017-10,58.0169,68.4483,0.170075,2.1815,
2017-11,58.1179,67.6434,0.173639,2.16373,
2017-12,58.5814,69.5185,0.176847,2.1565,
2018-01,57.6002,68.8668,0.173184,2.04955,
2018-02,56.184,69.9322,0.17416,2.0181,
2018-03,56.3742,68.9062,0.175963,2.10351,
2018-04,57.2649,70.5618,0.179829,2.17613,
2018-05,61.9997,75.2056,0.189546,2.36369,
2018-06,62.0188,72.5806,0.188281,2.37483,
2018-07,62.7565,72.9921,0.183843,2.38527,
2018-08,62.3497,73.0738,0.179576,2.31999,
2018-09,68.0447,79.4966,0.187126,2.40866,
2018-10,65.5906,76.2294,0.180626,2.32056,
2018-11,65.5962,74.4189,0.177753,2.3348,
2018-12,66.5335,75.7484,0.178169,2.35508,
2019-01,69.4706,79.4605,0.18057,2.50706,
2019-02,65.3577,75.2006,0.171867,2.35499,
2019-03,65.8895,74.9691,0.175738,2.45673,
2019-04,64.7347,72.723,0.170498,2.38008,
2019-05,64.6314,72.3096,0.169558,2.44839,
2019-06,65.3834,72.8436,0.170928,2.4333,
2019-07,63.0756,71.8179,0.165759,2.41161,
2019-08,63.4172,70.7355,0.164966,2.53276,
2019-09,66.4897,73.3847,0.171686,2.64585,
2019-10,64.6407,70.7169,0.166503,2.67497,
2019-11,63.7748,71.1918,0.164083,2.56843,
2019-12,64.0817,70.5475,0.165875,2.67341,
2020-01,61.9057,69.3777,0.161665,2.61205,
2020-02,63.1385,69.5976,0.166537,2.52296,
2020-03,66.9909,73.7235,0.175541,2.7257,
2020-04,77.7325,85.7389,0.174278,2.75213,
2020-05,72.7263,79.1189,0.171298,2.69798,
2020-06,70.752,78.5489,0.171643,2.62872,
2020-07,70.4413,78.9929,0.174099,2.64194,
2020-08,73.4261,87.2889,0.174086,2.65196,
2020-09,73.8039,87.8266,0.175623,2.67537,
2020-10,78.7847,92.4302,0.181995,2.78337,
2020-11,79.3323,92.6284,0.183154,2.78971,
2020-12,76.1999,91.2037,0.179066,2.67321,
2021-01,73.8757,90.7932,0.175252,2.60711,
2021-02,76.2527,92.2963,0.179782,2.7094,
2021-03,74.4373,90.3743,0.178255,2.66296,
2021-04,75.6373,88.7452,0.177801,2.71942,
2021-05,74.8451,90.585,0.174178,2.69783,
2021-06,73.2965,89.3778,0.170912,2.66893,
2021-07,72.7234,86.5118,0.169778,2.67074,
2021-08,73.1388,86.9913,0.171891,2.72718,
2021-09,73.2781,86.666,0.171752,2.72558,
2021-10,72.6642,84.305,0.170653,2.72887,
2021-11,70.52,82.2898,0.16494,2.68152,
2021-12,74.8926,84.8234,0.170443,2.74319,
2022-01,74.2926,84.0695,0.169,2.72584,
2022-02,77.4702,86.5032,0.178379,2.71136,
2022-03,93.5589,104.4772,0.188393,3.10053,
2022-04,83.4097,92.493,0.177349,2.82427,
2022-05,71.0237,74.5589,0.158362,2.34698,
2022-06,61.6069,62.7397,0.144147,2.0778,
2022-07,52.5123,54.6405,0.11291,1.77865,
